,SalesOrderID,NumDetails
0,43659,12
1,43661,15
2,43662,22
3,43664,8
4,43665,10
5,43666,6
6,43667,4
7,43668,29
8,43670,4
9,43671,11
10,43672,3
11,43673,11
12,43675,9
13,43676,5
14,43677,12
15,43678,19
16,43679,3
17,43680,15
18,43681,21
19,43682,5
20,43683,13
21,43684,6
22,43685,4
23,43686,3
24,43688,11
25,43689,21
26,43690,4
27,43692,28
28,43693,10
29,43694,11
30,43695,8
31,43843,10
32,43844,4
33,43845,10
34,43846,4
35,43847,3
36,43848,5
37,43849,11
38,43850,11
39,43851,12
40,43853,6
41,43855,13
42,43857,14
43,43858,13
44,43859,4
45,43860,12
46,43861,27
47,43862,9
48,43863,4
49,43864,9
50,43865,14
51,43866,3
52,43867,18
53,43869,10
54,43870,5
55,43871,14
56,43872,16
57,43873,28
58,43875,21
59,43876,8
60,43877,10
61,43879,26
62,43880,13
63,43881,8
64,43883,17
65,43884,22
66,43886,21
67,43888,14
68,43890,13
69,43891,9
70,43892,13
71,43894,7
72,43895,15
73,43896,5
74,43897,14
75,43898,28
76,43899,13
77,43900,9
78,43901,10
79,43902,20
80,43904,12
81,43905,11
82,43906,14
83,43907,22
84,43908,3
85,43909,9
86,43910,16
87,43911,15
88,43912,16
89,43913,12
90,43914,5
91,43916,14
92,43917,14
93,44074,3
94,44075,9
95,44077,8
96,44078,8
97,44079,27
98,44081,16
99,44083,4
100,44085,21
101,44086,21
102,44089,3
103,44090,13
104,44091,7
105,44092,8
106,44093,19
107,44095,9
108,44097,12
109,44098,6
110,44099,6
111,44100,21
112,44101,4
113,44102,5
114,44103,5
115,44105,4
116,44107,21
117,44109,15
118,44110,22
119,44111,19
120,44112,5
121,44113,15
122,44114,22
123,44115,19
124,44116,6
125,44117,16
126,44118,3
127,44119,11
128,44120,15
129,44121,14
130,44124,21
131,44125,3
132,44126,7
133,44127,22
134,44128,11
135,44129,30
136,44130,9
137,44131,10
138,44133,17
139,44282,15
140,44283,27
141,44284,16
142,44285,13
143,44286,6
144,44287,5
145,44288,34
146,44289,3
147,44290,4
148,44292,4
149,44293,25
150,44294,11
151,44295,9
152,44296,26
153,44297,8
154,44298,27
155,44299,27
156,44300,10
157,44301,27
158,44304,9
159,44305,15
160,44306,20
161,44307,9
162,44308,9
163,44309,18
164,44311,7
165,44312,4
166,44313,22
167,44314,23
168,44315,5
169,44316,6
170,44317,28
171,44318,6
172,44319,14
173,44481,7
174,44483,4
175,44484,5
176,44487,8
177,44488,27
178,44489,5
179,44490,7
180,44491,4
181,44492,19
182,44493,9
183,44494,26
184,44495,3
185,44496,19
186,44498,15
187,44499,4
188,44500,6
189,44501,20
190,44502,14
191,44503,4
192,44504,27
193,44505,8
194,44506,30
195,44507,13
196,44508,4
197,44509,32
198,44511,5
199,44513,16
200,44514,11
201,44515,7
202,44517,27
203,44518,20
204,44520,34
205,44521,26
206,44522,22
207,44523,17
208,44524,3
209,44525,27
210,44526,13
211,44527,5
212,44528,12
213,44530,22
214,44531,20
215,44533,20
216,44534,13
217,44535,14
218,44538,35
219,44540,16
220,44541,10
221,44542,7
222,44544,14
223,44545,8
224,44547,29
225,44549,12
226,44550,21
227,44551,15
228,44552,19
229,44555,22
230,44556,16
231,44557,21
232,44559,20
233,44561,10
234,44562,18
235,44563,28
236,44564,24
237,44565,4
238,44566,15
239,44567,12
240,44568,3
241,44569,15
242,44570,32
243,44740,9
244,44742,27
245,44743,8
246,44744,25
247,44745,15
248,44746,7
249,44747,9
250,44749,33
251,44750,24
252,44751,3
253,44752,9
254,44753,3
255,44754,14
256,44755,25
257,44756,17
258,44757,9
259,44758,27
260,44759,5
261,44760,4
262,44761,12
263,44762,21
264,44763,7
265,44764,3
266,44765,11
267,44766,4
268,44767,11
269,44768,26
270,44770,8
271,44771,32
272,44772,35
273,44773,23
274,44774,9
275,44775,4
276,44776,16
277,44777,20
278,44778,21
279,44779,9
280,44780,19
281,44782,21
282,44783,16
283,44784,4
284,44787,17
285,44788,14
286,44791,19
287,44792,11
288,44793,3
289,44795,20
290,44796,8
291,44797,32
292,44798,13
293,44799,10
294,44800,6
295,44801,26
296,44802,6
297,45038,15
298,45039,19
299,45042,7
300,45043,8
301,45044,6
302,45045,6
303,45047,26
304,45048,4
305,45049,5
306,45050,3
307,45051,3
308,45052,5
309,45053,17
310,45054,8
311,45055,17
312,45056,9
313,45057,17
314,45058,7
315,45059,17
316,45060,19
317,45061,11
318,45062,20
319,45063,8
320,45064,10
321,45065,15
322,45067,6
323,45068,3
324,45069,14
325,45070,18
326,45071,5
327,45072,3
328,45074,24
329,45075,4
330,45076,4
331,45077,8
332,45266,7
333,45267,3
334,45270,18
335,45271,5
336,45272,4
337,45273,7
338,45274,9
339,45275,5
340,45276,3
341,45277,18
342,45278,17
343,45280,12
344,45281,3
345,45282,4
346,45283,18
347,45284,18
348,45285,11
349,45286,5
350,45288,27
351,45289,9
352,45290,9
353,45291,23
354,45294,8
355,45295,7
356,45296,14
357,45297,7
358,45298,16
359,45299,20
360,45300,20
361,45301,27
362,45302,15
363,45303,5
364,45304,6
365,45305,23
366,45306,7
367,45307,7
368,45308,21
369,45309,15
370,45310,5
371,45311,5
372,45312,3
373,45313,22
374,45314,17
375,45315,14
376,45317,22
377,45318,19
378,45319,5
379,45320,5
380,45321,11
381,45322,8
382,45323,25
383,45325,3
384,45326,14
385,45327,5
386,45328,10
387,45329,20
388,45331,15
389,45332,15
390,45333,5
391,45334,10
392,45335,17
393,45336,10
394,45337,17
395,45338,20
396,45339,19
397,45340,3
398,45341,9
399,45342,9
400,45343,16
401,45344,22
402,45516,21
403,45517,6
404,45518,5
405,45520,24
406,45521,9
407,45522,18
408,45524,14
409,45525,6
410,45526,4
411,45527,25
412,45529,21
413,45531,6
414,45532,12
415,45533,3
416,45534,11
417,45535,17
418,45536,18
419,45538,16
420,45539,8
421,45540,7
422,45542,19
423,45544,6
424,45545,8
425,45546,5
426,45547,9
427,45548,7
428,45549,23
429,45550,26
430,45551,4
431,45552,17
432,45553,9
433,45554,12
434,45555,18
435,45556,19
436,45557,15
437,45558,3
438,45560,11
439,45561,18
440,45562,4
441,45563,3
442,45564,11
443,45565,15
444,45568,18
445,45569,3
446,45570,6
447,45571,21
448,45572,7
449,45573,3
450,45574,9
451,45575,28
452,45576,5
453,45577,23
454,45578,3
455,45779,14
456,45780,16
457,45781,26
458,45782,18
459,45783,9
460,45784,4
461,45785,12
462,45786,29
463,45787,6
464,45790,3
465,45791,5
466,45792,10
467,45793,24
468,45794,9
469,45795,25
470,45796,12
471,45797,26
472,45798,27
473,45799,26
474,45800,8
475,45801,13
476,45802,16
477,45803,9
478,45804,12
479,45805,20
480,45806,3
481,45807,4
482,45808,5
483,45809,20
484,45810,19
485,45811,5
486,45812,9
487,45813,23
488,45814,9
489,45815,14
490,46024,8
491,46025,4
492,46026,10
493,46027,6
494,46028,29
495,46029,6
496,46030,3
497,46032,14
498,46033,8
499,46034,23
500,46035,7
501,46036,29
502,46038,17
503,46039,9
504,46041,8
505,46042,23
506,46043,17
507,46044,29
508,46045,31
509,46047,11
510,46048,8
511,46049,35
512,46051,9
513,46052,11
514,46053,16
515,46054,9
516,46055,27
517,46056,20
518,46057,32
519,46058,28
520,46059,19
521,46060,17
522,46061,4
523,46062,27
524,46064,13
525,46065,4
526,46066,11
527,46067,20
528,46068,16
529,46069,7
530,46071,20
531,46072,14
532,46074,14
533,46076,32
534,46077,15
535,46079,4
536,46080,6
537,46082,17
538,46083,10
539,46085,3
540,46086,28
541,46087,21
542,46088,10
543,46089,15
544,46090,22
545,46091,22
546,46093,20
547,46094,17
548,46095,15
549,46097,4
550,46098,12
551,46099,13
552,46100,27
553,46101,25
554,46102,7
555,46103,16
556,46105,35
557,46106,3
558,46107,17
559,46323,6
560,46324,7
561,46325,25
562,46326,27
563,46327,11
564,46330,17
565,46331,8
566,46332,10
567,46333,36
568,46334,23
569,46338,17
570,46339,6
571,46340,4
572,46341,22
573,46342,9
574,46343,24
575,46344,25
576,46345,11
577,46346,11
578,46347,4
579,46348,21
580,46349,6
581,46350,4
582,46351,7
583,46352,4
584,46353,7
585,46355,21
586,46356,36
587,46357,7
588,46358,35
589,46359,19
590,46360,10
591,46361,5
592,46362,16
593,46363,17
594,46364,21
595,46365,5
596,46366,6
597,46367,20
598,46368,23
599,46369,7
600,46370,17
601,46372,15
602,46374,15
603,46377,17
604,46378,3
605,46379,7
606,46380,23
607,46382,8
608,46383,9
609,46384,15
610,46385,32
611,46386,8
612,46387,29
613,46388,5
614,46604,37
615,46605,18
616,46607,46
617,46608,51
618,46609,3
619,46610,21
620,46611,40
621,46612,4
622,46613,3
623,46614,60
624,46615,9
625,46616,65
626,46617,6
627,46620,50
628,46621,8
629,46622,20
630,46623,3
631,46624,21
632,46625,53
633,46626,35
634,46627,20
635,46629,39
636,46630,39
637,46631,16
638,46633,41
639,46634,4
640,46638,53
641,46639,18
642,46640,20
643,46642,38
644,46643,43
645,46645,35
646,46646,11
647,46647,41
648,46648,50
649,46649,20
650,46650,4
651,46651,11
652,46652,42
653,46653,6
654,46654,18
655,46655,32
656,46657,56
657,46658,8
658,46660,45
659,46662,57
660,46663,19
661,46664,23
662,46666,59
663,46667,16
664,46668,53
665,46669,57
666,46670,3
667,46671,48
668,46672,55
669,46673,36
670,46675,16
671,46930,21
672,46931,30
673,46932,9
674,46933,38
675,46935,3
676,46936,22
677,46938,31
678,46940,56
679,46941,10
680,46942,17
681,46943,14
682,46944,28
683,46947,21
684,46948,54
685,46949,5
686,46950,20
687,46951,13
688,46953,42
689,46954,3
690,46955,10
691,46956,13
692,46957,56
693,46959,59
694,46960,20
695,46964,56
696,46965,20
697,46966,21
698,46967,51
699,46968,22
700,46969,32
701,46970,40
702,46971,18
703,46972,33
704,46973,9
705,46974,54
706,46976,17
707,46977,5
708,46979,13
